Date,Symbol,Adj Close,Close,High,Low,Open,Volume
2010-01-04,MMM,,,,,,
2010-01-05,MMM,,,,,,
2010-01-06,MMM,,,,,,
2010-01-07,MMM,,,,,,
2010-01-08,MMM,,,,,,
2010-01-11,MMM,,,,,,
2010-01-12,MMM,,,,,,
2010-01-13,MMM,,,,,,
2010-01-14,MMM,,,,,,
2010-01-15,MMM,,,,,,
2010-01-19,MMM,,,,,,
2010-01-20,MMM,,,,,,
2010-01-21,MMM,,,,,,
2010-01-22,MMM,,,,,,
2010-01-25,MMM,,,,,,
2010-01-26,MMM,,,,,,
2010-01-27,MMM,,,,,,
2010-01-28,MMM,,,,,,
2010-01-29,MMM,,,,,,
2010-02-01,MMM,,,,,,
2010-02-02,MMM,,,,,,
2010-02-03,MMM,,,,,,
2010-02-04,MMM,,,,,,
2010-02-05,MMM,,,,,,
2010-02-08,MMM,,,,,,
2010-02-09,MMM,,,,,,
2010-02-10,MMM,,,,,,
2010-02-11,MMM,,,,,,
2010-02-12,MMM,,,,,,
2010-02-16,MMM,,,,,,
2010-02-17,MMM,,,,,,
2010-02-18,MMM,,,,,,
2010-02-19,MMM,,,,,,
2010-02-22,MMM,,,,,,
2010-02-23,MMM,,,,,,
2010-02-24,MMM,,,,,,
2010-02-25,MMM,,,,,,
2010-02-26,MMM,,,,,,
2010-03-01,MMM,,,,,,
2010-03-02,MMM,,,,,,
2010-03-03,MMM,,,,,,
2010-03-04,MMM,,,,,,
2010-03-05,MMM,,,,,,
2010-03-08,MMM,,,,,,
2010-03-09,MMM,,,,,,
2010-03-10,MMM,,,,,,
2010-03-11,MMM,,,,,,
2010-03-12,MMM,,,,,,
2010-03-15,MMM,,,,,,
2010-03-16,MMM,,,,,,
2010-03-17,MMM,,,,,,
2010-03-18,MMM,,,,,,
2010-03-19,MMM,,,,,,
2010-03-22,MMM,,,,,,
2010-03-23,MMM,,,,,,
2010-03-24,MMM,,,,,,
2010-03-25,MMM,,,,,,
2010-03-26,MMM,,,,,,
2010-03-29,MMM,,,,,,
2010-03-30,MMM,,,,,,
2010-03-31,MMM,,,,,,
2010-04-01,MMM,,,,,,
2010-04-05,MMM,,,,,,
2010-04-06,MMM,,,,,,
2010-04-07,MMM,,,,,,
2010-04-08,MMM,,,,,,
2010-04-09,MMM,,,,,,
2010-04-12,MMM,,,,,,
2010-04-13,MMM,,,,,,
2010-04-14,MMM,,,,,,
2010-04-15,MMM,,,,,,
2010-04-16,MMM,,,,,,
2010-04-19,MMM,,,,,,
2010-04-20,MMM,,,,,,
2010-04-21,MMM,,,,,,
2010-04-22,MMM,,,,,,
2010-04-23,MMM,,,,,,
2010-04-26,MMM,,,,,,
2010-04-27,MMM,,,,,,
2010-04-28,MMM,,,,,,
2010-04-29,MMM,,,,,,
2010-04-30,MMM,,,,,,
2010-05-03,MMM,,,,,,
2010-05-04,MMM,,,,,,
2010-05-05,MMM,,,,,,
2010-05-06,MMM,,,,,,
2010-05-07,MMM,,,,,,
2010-05-10,MMM,,,,,,
2010-05-11,MMM,,,,,,
2010-05-12,MMM,,,,,,
2010-05-13,MMM,,,,,,
2010-05-14,MMM,,,,,,
2010-05-17,MMM,,,,,,
2010-05-18,MMM,,,,,,
2010-05-19,MMM,,,,,,
2010-05-20,MMM,,,,,,
2010-05-21,MMM,,,,,,
2010-05-24,MMM,,,,,,
2010-05-25,MMM,,,,,,
2010-05-26,MMM,,,,,,
2010-05-27,MMM,,,,,,
2010-05-28,MMM,,,,,,
2010-06-01,MMM,,,,,,
2010-06-02,MMM,,,,,,
2010-06-03,MMM,,,,,,
2010-06-04,MMM,,,,,,
2010-06-07,MMM,,,,,,
2010-06-08,MMM,,,,,,
2010-06-09,MMM,,,,,,
2010-06-10,MMM,,,,,,
2010-06-11,MMM,,,,,,
2010-06-14,MMM,,,,,,
2010-06-15,MMM,,,,,,
2010-06-16,MMM,,,,,,
2010-06-17,MMM,,,,,,
2010-06-18,MMM,,,,,,
2010-06-21,MMM,,,,,,
2010-06-22,MMM,,,,,,
2010-06-23,MMM,,,,,,
2010-06-24,MMM,,,,,,
2010-06-25,MMM,,,,,,
2010-06-28,MMM,,,,,,
2010-06-29,MMM,,,,,,
2010-06-30,MMM,,,,,,
2010-07-01,MMM,,,,,,
2010-07-02,MMM,,,,,,
2010-07-06,MMM,,,,,,
2010-07-07,MMM,,,,,,
2010-07-08,MMM,,,,,,
2010-07-09,MMM,,,,,,
2010-07-12,MMM,,,,,,
2010-07-13,MMM,,,,,,
2010-07-14,MMM,,,,,,
2010-07-15,MMM,,,,,,
2010-07-16,MMM,,,,,,
2010-07-19,MMM,,,,,,
2010-07-20,MMM,,,,,,
2010-07-21,MMM,,,,,,
2010-07-22,MMM,,,,,,
2010-07-23,MMM,,,,,,
2010-07-26,MMM,,,,,,
2010-07-27,MMM,,,,,,
2010-07-28,MMM,,,,,,
2010-07-29,MMM,,,,,,
2010-07-30,MMM,,,,,,
2010-08-02,MMM,,,,,,
2010-08-03,MMM,,,,,,
2010-08-04,MMM,,,,,,
2010-08-05,MMM,,,,,,
2010-08-06,MMM,,,,,,
2010-08-09,MMM,,,,,,
2010-08-10,MMM,,,,,,
2010-08-11,MMM,,,,,,
2010-08-12,MMM,,,,,,
2010-08-13,MMM,,,,,,
2010-08-16,MMM,,,,,,
2010-08-17,MMM,,,,,,
2010-08-18,MMM,,,,,,
2010-08-19,MMM,,,,,,
2010-08-20,MMM,,,,,,
2010-08-23,MMM,,,,,,
2010-08-24,MMM,,,,,,
2010-08-25,MMM,,,,,,
2010-08-26,MMM,,,,,,
2010-08-27,MMM,,,,,,
2010-08-30,MMM,,,,,,
2010-08-31,MMM,,,,,,
2010-09-01,MMM,,,,,,
2010-09-02,MMM,,,,,,
2010-09-03,MMM,,,,,,
2010-09-07,MMM,,,,,,
2010-09-08,MMM,,,,,,
2010-09-09,MMM,,,,,,
2010-09-10,MMM,,,,,,
2010-09-13,MMM,,,,,,
2010-09-14,MMM,,,,,,
2010-09-15,MMM,,,,,,
2010-09-16,MMM,,,,,,
2010-09-17,MMM,,,,,,
2010-09-20,MMM,,,,,,
2010-09-21,MMM,,,,,,
2010-09-22,MMM,,,,,,
2010-09-23,MMM,,,,,,
2010-09-24,MMM,,,,,,
2010-09-27,MMM,,,,,,
2010-09-28,MMM,,,,,,
2010-09-29,MMM,,,,,,
2010-09-30,MMM,,,,,,
2010-10-01,MMM,,,,,,
2010-10-04,MMM,,,,,,
2010-10-05,MMM,,,,,,
2010-10-06,MMM,,,,,,
2010-10-07,MMM,,,,,,
2010-10-08,MMM,,,,,,
2010-10-11,MMM,,,,,,
2010-10-12,MMM,,,,,,
2010-10-13,MMM,,,,,,
2010-10-14,MMM,,,,,,
2010-10-15,MMM,,,,,,
2010-10-18,MMM,,,,,,
2010-10-19,MMM,,,,,,
2010-10-20,MMM,,,,,,
2010-10-21,MMM,,,,,,
2010-10-22,MMM,,,,,,
2010-10-25,MMM,,,,,,
2010-10-26,MMM,,,,,,
2010-10-27,MMM,,,,,,
2010-10-28,MMM,,,,,,
2010-10-29,MMM,,,,,,
2010-11-01,MMM,,,,,,
2010-11-02,MMM,,,,,,
2010-11-03,MMM,,,,,,
2010-11-04,MMM,,,,,,
2010-11-05,MMM,,,,,,
2010-11-08,MMM,,,,,,
2010-11-09,MMM,,,,,,
2010-11-10,MMM,,,,,,
2010-11-11,MMM,,,,,,
2010-11-12,MMM,,,,,,
2010-11-15,MMM,,,,,,
2010-11-16,MMM,,,,,,
2010-11-17,MMM,,,,,,
2010-11-18,MMM,,,,,,
2010-11-19,MMM,,,,,,
2010-11-22,MMM,,,,,,
2010-11-23,MMM,,,,,,
2010-11-24,MMM,,,,,,
2010-11-26,MMM,,,,,,
2010-11-29,MMM,,,,,,
2010-11-30,MMM,,,,,,
2010-12-01,MMM,,,,,,
2010-12-02,MMM,,,,,,
2010-12-03,MMM,,,,,,
2010-12-06,MMM,,,,,,
2010-12-07,MMM,,,,,,
2010-12-08,MMM,,,,,,
2010-12-09,MMM,,,,,,
2010-12-10,MMM,,,,,,
2010-12-13,MMM,,,,,,
2010-12-14,MMM,,,,,,
2010-12-15,MMM,,,,,,
2010-12-16,MMM,,,,,,
2010-12-17,MMM,,,,,,
2010-12-20,MMM,,,,,,
2010-12-21,MMM,,,,,,
2010-12-22,MMM,,,,,,
2010-12-23,MMM,,,,,,
2010-12-27,MMM,,,,,,
2010-12-28,MMM,,,,,,
2010-12-29,MMM,,,,,,
2010-12-30,MMM,,,,,,
2010-12-31,MMM,,,,,,
2011-01-03,MMM,,,,,,
2011-01-04,MMM,,,,,,
2011-01-05,MMM,,,,,,
2011-01-06,MMM,,,,,,
2011-01-07,MMM,,,,,,
2011-01-10,MMM,,,,,,
2011-01-11,MMM,,,,,,
2011-01-12,MMM,,,,,,
2011-01-13,MMM,,,,,,
2011-01-14,MMM,,,,,,
2011-01-18,MMM,,,,,,
2011-01-19,MMM,,,,,,
2011-01-20,MMM,,,,,,
2011-01-21,MMM,,,,,,
2011-01-24,MMM,,,,,,
2011-01-25,MMM,,,,,,
2011-01-26,MMM,,,,,,
2011-01-27,MMM,,,,,,
2011-01-28,MMM,,,,,,
2011-01-31,MMM,,,,,,
2011-02-01,MMM,,,,,,
2011-02-02,MMM,,,,,,
2011-02-03,MMM,,,,,,
2011-02-04,MMM,,,,,,
2011-02-07,MMM,,,,,,
2011-02-08,MMM,,,,,,
2011-02-09,MMM,,,,,,
2011-02-10,MMM,,,,,,
2011-02-11,MMM,,,,,,
2011-02-14,MMM,,,,,,
2011-02-15,MMM,,,,,,
2011-02-16,MMM,,,,,,
2011-02-17,MMM,,,,,,
